-550.07556,-548.46344,-550.92596,-551.2996,-552.79767,-550.0074,-555.8901,-554.6777,-545.4289,-553.11414
-543.01154,-545.4516,-544.9004,-545.1234,-541.05664,-544.128,-541.19543,-538.21234,-546.6858,-545.4015
-542.2022,-546.089,-544.36017,-546.5176,-551.03906,-548.63513,-547.0255,-548.4095,-547.63,-551.9451
-549.7723,-549.6729,-551.7798,-555.4208,-553.1505,-550.5282,-552.9868,-554.184,-549.8719,-544.5647
-551.24384,-552.15155,-549.964,-551.48846,-537.9854,-553.04285,-542.36554,-546.77905,-553.7196,-548.2301
-549.7695,-549.55884,-550.35034,-553.5216,-560.1021,-547.1309,-551.02325,-554.648,-549.88586,-547.3467
-541.7786,-543.4899,-542.4547,-538.1751,-540.64294,-542.33325,-543.56665,-536.3963,-546.35815,-546.297
-543.48035,-543.2412,-544.47314,-546.0483,-546.948,-547.7343,-547.4579,-550.0053,-544.9737,-545.88837
-549.1992,-547.81824,-549.9749,-553.4901,-557.48444,-547.17096,-551.91425,-554.7545,-549.933,-546.15845
-543.65173,-540.5575,-544.7875,-547.5723,-551.89954,-547.98175,-547.14777,-550.6011,-545.9258,-547.4485
-537.4536,-539.7155,-533.24316,-541.1912,-544.7802,-543.0518,-545.39197,-546.84955,-544.9154,-546.2547
0.56401974,0.07329106,-0.47320643,-0.6492679,-2.5985842,-0.6933909,-2.369799,1.5215789,3.3961408,-1.2964569
-553.99274,-554.24207,-557.96564,-552.3309,-563.6282,-547.39435,-541.89417,-539.7187,-542.29364,-543.9282
-552.1813,-549.97833,-552.70734,-554.0326,-549.5917,-552.9701,-552.1612,-555.7743,-551.9408,-551.64264
-549.8708,-547.756,-549.8392,-548.6533,-559.35657,-546.695,-550.8526,-564.36694,-544.49347,-542.64026
-543.0453,-543.1554,-541.4901,-541.684,-531.68396,-544.3572,-538.9228,-541.57587,-539.8599,-540.8009
-549.9318,-548.1095,-550.9264,-552.2668,-551.81714,-552.02374,-556.0111,-550.6865,-548.4197,-550.5707
-549.778,-549.6152,-551.1275,-553.39886,-552.4039,-549.80475,-554.1211,-554.4812,-550.6762,-548.21625
